OTU_id	F14RootFungi.2p.A2	F14RootFungi.2p.B1	F14RootFungi.2p.B5	F14RootFungi.2p.B6	F14RootFungi.2p.D4	F14RootFungi.H12	F14RootFungi.G8	F14RootFungi.G4	F14RootFungi.G2	F14RootFungi.G5	F15RootFungi.2p.A2	F15RootFungi.2p.B6	F15RootFungi.2p.C5	F15RootFungi.2p.C3	F15RootFungi.2p.D2	F15RootFungi.2p.C4	F15Group.Root131	F15Group.Root99	F15RootFungi.G3	F15RootFungi.G8
Otu00321	0	0	0	0	7	0	0	0	0	0	0	0	31	0	57	5	0	0	0	0
Otu00322	0	0	0	0	0	0	0	0	0	0	13	0	5	0	0	0	0	0	0	0
Otu00324	0	4	0	0	0	0	0	0	1	10	0	0	3	0	0	0	0	0	0	1
Otu00325	0	0	0	0	0	0	0	0	0	0	108	0	14	0	0	0	0	0	0	0
Otu00327	0	0	0	0	0	0	0	0	0	0	0	0	88	0	0	0	0	0	0	0
Otu00328	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00329	0	1	28	1	0	0	0	0	0	0	34	0	0	0	0	0	27	0	0	0
Otu00330	0	0	0	0	0	0	0	0	0	0	0	1	2	0	16	8	5	0	13	0
Otu00331	0	0	0	0	0	1	0	0	0	0	0	2	3	0	0	0	0	0	4	0
Otu00340	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00346	0	6	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0
Otu00349	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0
Otu00350	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
Otu00352	0	0	0	0	0	0	0	0	0	0	28	0	0	0	11	0	0	0	0	0
Otu00354	0	0	0	0	0	11	0	0	0	0	0	0	0	2	56	2	0	0	0	0
Otu00356	0	5	0	0	0	0	0	0	0	0	14	2	9	0	15	0	0	0	0	0
Otu00357	0	0	0	0	0	0	1	1	23	0	0	0	0	0	0	0	20	1	13	11
Otu00360	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23
Otu00361	0	0	0	0	12	0	0	0	0	0	0	0	0	0	39	0	1	0	0	0
Otu00362	0	0	0	0	0	0	0	0	287	0	0	0	0	0	0	0	0	0	0	0
Otu00363	0	0	0	0	0	0	0	0	0	0	0	0	0	0	185	0	0	0	0	0
Otu00369	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	36
Otu00370	0	0	0	0	0	0	0	0	0	0	0	0	0	3	7	0	0	0	0	0
Otu00371	0	0	0	0	0	0	0	3	2	0	0	0	3	0	0	0	0	0	8	0
Otu00374	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
Otu00377	0	0	0	0	0	0	0	0	0	0	5	0	54	0	0	0	0	0	0	0
Otu00378	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0
Otu00379	1	0	0	1	0	1	0	0	0	0	1	1	1	1	1	0	0	0	0	0
